"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","12283","test_upload_validation[TC_MyInfo_008.1-photo_1mb.jpg-Upload successful]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","11802","test_add_record[TC_MyInfo_045-Membership]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","19135","test_validate_myinfo_flows[TC_MyInfo_001]","tests","2026-02-02","failed","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: View Personal Details (TC_MyInfo_005)","15860","test_view_personal_details_tc_myinfo_005","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\myinfo.feature: Validate MyInfo flows","19101","test_validate_myinfo_flows[TC_MyInfo_009]","tests","2026-02-02","failed","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","20052","test_delete_record[TC_MyInfo_021-Immigration]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","16971","test_delete_record[TC_MyInfo_013-Emergency Contacts]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","1","test_ess_login_validation[TC_MyInfo_001-pavan-pavan@12345-MyInfo page visible]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: Edit Personal Details (TC_MyInfo_006)","21955","test_edit_personal_details_tc_myinfo_006","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","17362","test_add_record[TC_MyInfo_019-Immigration]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: Restricted fields in Personal Details (TC_MyInfo_007)","17003","test_restricted_fields_in_personal_details_tc_myinfo_007","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","14788","test_add_record[TC_MyInfo_019-Immigration]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
